instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_100_234/p4.4.r;55.0;100;4;112.0;1.4185
Set_66_234/p5.2.b;5.0;66;2;10.0;0.0031
Set_66_234/p5.2.c;7.5;66;2;30.0;0.0171
Set_66_234/p5.2.d;10.0;66;2;30.0;0.03
Set_66_234/p5.2.e;12.5;66;2;50.0;0.109
Set_66_234/p5.2.f;15.0;66;2;70.0;0.2143
Set_66_234/p5.2.g;17.5;66;2;70.0;0.4399
Set_66_234/p5.2.h;20.0;66;2;70.0;0.5385
Set_66_234/p5.2.i;22.5;66;2;70.0;0.5111
Set_66_234/p5.2.j;25.0;66;2;70.0;0.5147
Set_66_234/p5.2.k;27.5;66;2;70.0;0.5016
Set_66_234/p5.2.l;30.0;66;2;70.0;0.5159
Set_66_234/p5.2.m;32.5;66;2;70.0;0.5119
Set_66_234/p5.2.n;35.0;66;2;70.0;0.5228
Set_66_234/p5.2.o;37.5;66;2;70.0;0.518
Set_66_234/p5.2.p;40.0;66;2;70.0;0.5075
Set_66_234/p5.2.q;42.5;66;2;70.0;0.5579
Set_66_234/p5.2.r;45.0;66;2;70.0;0.5112
Set_66_234/p5.3.b;3.3;66;3;15.0;0.0031
Set_66_234/p5.3.c;5.0;66;3;15.0;0.006
Set_66_234/p5.3.d;6.7;66;3;45.0;0.0181
Set_66_234/p5.3.e;8.3;66;3;45.0;0.0192
Set_66_234/p5.3.f;10.0;66;3;45.0;0.028
Set_66_234/p5.3.g;11.7;66;3;75.0;0.1088
Set_66_234/p5.3.h;13.3;66;3;75.0;0.1132
Set_66_234/p5.3.i;15.0;66;3;105.0;0.212
Set_66_234/p5.3.j;16.7;66;3;105.0;0.3388
Set_66_234/p5.3.k;18.3;66;3;105.0;0.4332
Set_66_234/p5.3.l;20.0;66;3;105.0;0.546
Set_66_234/p5.3.m;21.7;66;3;105.0;0.5222
Set_66_234/p5.3.n;23.3;66;3;105.0;0.5426
Set_66_234/p5.3.o;25.0;66;3;105.0;0.5008
Set_66_234/p5.3.p;26.7;66;3;105.0;0.538
Set_66_234/p5.3.q;28.3;66;3;105.0;0.4982
Set_66_234/p5.3.r;30.0;66;3;105.0;0.5219
Set_66_234/p5.4.c;3.8;66;4;20.0;0.003
Set_66_234/p5.4.d;5.0;66;4;20.0;0.0032
Set_66_234/p5.4.e;6.2;66;4;20.0;0.006
Set_66_234/p5.4.f;7.5;66;4;60.0;0.0179
Set_66_234/p5.4.g;8.8;66;4;60.0;0.0281
Set_66_234/p5.4.h;10.0;66;4;60.0;0.0277
Set_66_234/p5.4.i;11.2;66;4;100.0;0.0582
Set_66_234/p5.4.j;12.5;66;4;100.0;0.106
Set_66_234/p5.4.k;13.8;66;4;100.0;0.1082
Set_66_234/p5.4.l;15.0;66;4;140.0;0.2179
Set_66_234/p5.4.m;16.2;66;4;140.0;0.3138
Set_66_234/p5.4.n;17.5;66;4;140.0;0.451
Set_66_234/p5.4.o;18.8;66;4;140.0;0.4291
Set_66_234/p5.4.p;20.0;66;4;140.0;0.518
Set_66_234/p5.4.q;21.2;66;4;140.0;0.5023
Set_66_234/p5.4.r;22.5;66;4;140.0;0.521
Set_64_234/p6.2.d;15.0;64;2;48.0;0.1196
Set_64_234/p6.2.e;17.5;64;2;72.0;0.3676
Set_64_234/p6.2.f;20.0;64;2;84.0;0.4841
Set_64_234/p6.2.g;22.5;64;2;84.0;0.475
Set_64_234/p6.2.h;25.0;64;2;84.0;0.4868
Set_64_234/p6.2.i;27.5;64;2;84.0;0.4674
Set_64_234/p6.2.j;30.0;64;2;84.0;0.4845
Set_64_234/p6.2.k;32.5;64;2;84.0;0.461
Set_64_234/p6.2.l;35.0;64;2;84.0;0.4816
Set_64_234/p6.2.m;37.5;64;2;84.0;0.4661
Set_64_234/p6.2.n;40.0;64;2;84.0;0.4894
Set_64_234/p6.3.g;15.0;64;3;72.0;0.1122
Set_64_234/p6.3.h;16.7;64;3;90.0;0.2841
Set_64_234/p6.3.i;18.3;64;3;102.0;0.3754
Set_64_234/p6.3.j;20.0;64;3;120.0;0.4773
Set_64_234/p6.3.k;21.7;64;3;120.0;0.4659
Set_64_234/p6.3.l;23.3;64;3;120.0;0.4816
Set_64_234/p6.3.m;25.0;64;3;120.0;0.4681
Set_64_234/p6.3.n;26.7;64;3;120.0;0.4823
Set_64_234/p6.4.j;15.0;64;4;96.0;0.1107
Set_64_234/p6.4.k;16.2;64;4;120.0;0.2363
Set_64_234/p6.4.l;17.5;64;4;132.0;0.3675
Set_64_234/p6.4.m;18.8;64;4;144.0;0.4471
Set_64_234/p6.4.n;20.0;64;4;156.0;0.4809
