instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_100_234/p4.3.l;53.3;100;3;557.0;0.2267
Set_100_234/p4.3.m;56.7;100;3;608.0;0.235
Set_100_234/p4.3.n;60.0;100;3;796.0;0.2647
Set_100_234/p4.3.o;63.3;100;3;821.0;0.2527
Set_100_234/p4.3.p;66.7;100;3;833.0;0.2486
Set_100_234/p4.3.q;70.0;100;3;882.0;0.2647
Set_100_234/p4.3.r;73.3;100;3;859.0;0.2576
Set_100_234/p4.4.d;20.0;100;4;38.0;0.003
Set_100_234/p4.4.e;22.5;100;4;170.0;0.005
Set_100_234/p4.4.f;25.0;100;4;253.0;0.0181
Set_100_234/p4.4.g;27.5;100;4;345.0;0.0409
Set_100_234/p4.4.h;30.0;100;4;428.0;0.0568
Set_100_234/p4.4.i;32.5;100;4;422.0;0.0848
Set_100_234/p4.4.j;35.0;100;4;458.0;0.1319
Set_100_234/p4.4.k;37.5;100;4;498.0;0.1419
Set_100_234/p4.4.l;40.0;100;4;534.0;0.1757
Set_100_234/p4.4.m;42.5;100;4;565.0;0.1996
Set_100_234/p4.4.n;45.0;100;4;655.0;0.2457
Set_100_234/p4.4.o;47.5;100;4;703.0;0.2229
Set_100_234/p4.4.p;50.0;100;4;764.0;0.2511
Set_100_234/p4.4.q;52.5;100;4;700.0;0.2244
Set_100_234/p4.4.r;55.0;100;4;750.0;0.2297
Set_66_234/p5.2.b;5.0;66;2;20.0;0.002
Set_66_234/p5.2.c;7.5;66;2;40.0;0.006
Set_66_234/p5.2.d;10.0;66;2;70.0;0.006
Set_66_234/p5.2.e;12.5;66;2;160.0;0.0181
Set_66_234/p5.2.f;15.0;66;2;160.0;0.032
Set_66_234/p5.2.g;17.5;66;2;220.0;0.0638
Set_66_234/p5.2.h;20.0;66;2;240.0;0.074
Set_66_234/p5.2.i;22.5;66;2;380.0;0.0702
Set_66_234/p5.2.j;25.0;66;2;580.0;0.0814
Set_66_234/p5.2.k;27.5;66;2;650.0;0.0818
Set_66_234/p5.2.l;30.0;66;2;650.0;0.0812
Set_66_234/p5.2.m;32.5;66;2;650.0;0.0829
Set_66_234/p5.2.n;35.0;66;2;810.0;0.0863
Set_66_234/p5.2.o;37.5;66;2;840.0;0.0955
Set_66_234/p5.2.p;40.0;66;2;1140.0;0.0957
Set_66_234/p5.2.q;42.5;66;2;1140.0;0.1175
Set_66_234/p5.2.r;45.0;66;2;1140.0;0.0966
Set_66_234/p5.3.b;3.3;66;3;15.0;0.0021
Set_66_234/p5.3.c;5.0;66;3;20.0;0.0031
Set_66_234/p5.3.d;6.7;66;3;60.0;0.0041
Set_66_234/p5.3.e;8.3;66;3;95.0;0.0041
Set_66_234/p5.3.f;10.0;66;3;105.0;0.007
Set_66_234/p5.3.g;11.7;66;3;120.0;0.0186
Set_66_234/p5.3.h;13.3;66;3;240.0;0.0164
Set_66_234/p5.3.i;15.0;66;3;240.0;0.0338
Set_66_234/p5.3.j;16.7;66;3;315.0;0.0471
Set_66_234/p5.3.k;18.3;66;3;360.0;0.0641
Set_66_234/p5.3.l;20.0;66;3;360.0;0.0732
Set_66_234/p5.3.m;21.7;66;3;580.0;0.0742
Set_66_234/p5.3.n;23.3;66;3;645.0;0.0731
Set_66_234/p5.3.o;25.0;66;3;845.0;0.0759
Set_66_234/p5.3.p;26.7;66;3;975.0;0.0803
Set_66_234/p5.3.q;28.3;66;3;975.0;0.0815
Set_66_234/p5.3.r;30.0;66;3;975.0;0.0827
Set_66_234/p5.4.c;3.8;66;4;20.0;0.0041
Set_66_234/p5.4.d;5.0;66;4;20.0;0.0041
Set_66_234/p5.4.e;6.2;66;4;20.0;0.004
Set_66_234/p5.4.f;7.5;66;4;80.0;0.0049
Set_66_234/p5.4.g;8.8;66;4;120.0;0.0081
Set_66_234/p5.4.h;10.0;66;4;140.0;0.005
Set_66_234/p5.4.i;11.2;66;4;180.0;0.0126
Set_66_234/p5.4.j;12.5;66;4;320.0;0.0171
Set_66_234/p5.4.k;13.8;66;4;320.0;0.016
Set_66_234/p5.4.l;15.0;66;4;320.0;0.0383
Set_66_234/p5.4.m;16.2;66;4;450.0;0.0459
Set_66_234/p5.4.n;17.5;66;4;440.0;0.0631
Set_66_234/p5.4.o;18.8;66;4;540.0;0.0597
Set_66_234/p5.4.p;20.0;66;4;480.0;0.0709
Set_66_234/p5.4.q;21.2;66;4;670.0;0.0724
Set_66_234/p5.4.r;22.5;66;4;760.0;0.0771
Set_64_234/p6.2.d;15.0;64;2;168.0;0.018
Set_64_234/p6.2.e;17.5;64;2;288.0;0.0605
Set_64_234/p6.2.f;20.0;64;2;564.0;0.0928
Set_64_234/p6.2.g;22.5;64;2;648.0;0.0798
Set_64_234/p6.2.h;25.0;64;2;648.0;0.0776
Set_64_234/p6.2.i;27.5;64;2;648.0;0.0844
Set_64_234/p6.2.j;30.0;64;2;840.0;0.097
Set_64_234/p6.2.k;32.5;64;2;840.0;0.0984
Set_64_234/p6.2.l;35.0;64;2;840.0;0.096
Set_64_234/p6.2.m;37.5;64;2;840.0;0.0959
Set_64_234/p6.2.n;40.0;64;2;840.0;0.1155
Set_64_234/p6.3.g;15.0;64;3;252.0;0.017
Set_64_234/p6.3.h;16.7;64;3;420.0;0.0505
Set_64_234/p6.3.i;18.3;64;3;594.0;0.0684
Set_64_234/p6.3.j;20.0;64;3;786.0;0.0877
Set_64_234/p6.3.k;21.7;64;3;846.0;0.0817
Set_64_234/p6.3.l;23.3;64;3;858.0;0.0842
Set_64_234/p6.3.m;25.0;64;3;858.0;0.0846
Set_64_234/p6.3.n;26.7;64;3;858.0;0.0844
Set_64_234/p6.4.j;15.0;64;4;336.0;0.0184
Set_64_234/p6.4.k;16.2;64;4;372.0;0.0343
Set_64_234/p6.4.l;17.5;64;4;540.0;0.0536
Set_64_234/p6.4.m;18.8;64;4;864.0;0.0871
Set_64_234/p6.4.n;20.0;64;4;1008.0;0.0737
