instance;tmps_max;nombre_clients;nombre_tournees;profit_total;temps_execution
Set_33_234/p3.4.l;17.5;33;4;310.0;0.0
Set_33_234/p3.4.m;18.8;33;4;340.0;0.018
Set_33_234/p3.4.n;20.0;33;4;360.0;0.0161
Set_33_234/p3.4.o;21.2;33;4;410.0;0.01
Set_33_234/p3.4.p;22.5;33;4;430.0;0.0069
Set_33_234/p3.4.q;23.8;33;4;500.0;0.0158
Set_33_234/p3.4.r;25.0;33;4;500.0;0.0
Set_100_234/p4.2.a;25.0;100;2;145.0;0.0283
Set_100_234/p4.2.b;30.0;100;2;208.0;0.0314
Set_100_234/p4.2.c;35.0;100;2;230.0;0.05
Set_100_234/p4.2.d;40.0;100;2;241.0;0.1
Set_100_234/p4.2.e;45.0;100;2;286.0;0.0877
Set_100_234/p4.2.f;50.0;100;2;352.0;0.0872
Set_100_234/p4.2.g;55.0;100;2;337.0;0.1167
Set_100_234/p4.2.h;60.0;100;2;413.0;0.0997
Set_100_234/p4.2.i;65.0;100;2;401.0;0.1012
Set_100_234/p4.2.j;70.0;100;2;471.0;0.1332
Set_100_234/p4.2.k;75.0;100;2;455.0;0.117
Set_100_234/p4.2.l;80.0;100;2;526.0;0.1167
Set_100_234/p4.2.m;85.0;100;2;584.0;0.1328
Set_100_234/p4.2.n;90.0;100;2;657.0;0.167
Set_100_234/p4.2.o;95.0;100;2;657.0;0.2
Set_100_234/p4.2.p;100.0;100;2;576.0;0.1999
Set_100_234/p4.2.q;105.0;100;2;714.0;0.1837
Set_100_234/p4.2.r;110.0;100;2;764.0;0.2748
Set_100_234/p4.3.b;20.0;100;3;38.0;0.0085
Set_100_234/p4.3.c;23.3;100;3;142.0;0.009
Set_100_234/p4.3.d;26.7;100;3;215.0;0.0155
Set_100_234/p4.3.e;30.0;100;3;289.0;0.0433
Set_100_234/p4.3.f;33.3;100;3;306.0;0.0562
Set_100_234/p4.3.g;36.7;100;3;359.0;0.0604
Set_100_234/p4.3.h;40.0;100;3;349.0;0.0803
Set_100_234/p4.3.i;43.3;100;3;413.0;0.1152
Set_100_234/p4.3.j;46.7;100;3;450.0;0.0829
Set_100_234/p4.3.k;50.0;100;3;513.0;0.121
Set_100_234/p4.3.l;53.3;100;3;407.0;0.0965
Set_100_234/p4.3.m;56.7;100;3;530.0;0.1102
Set_100_234/p4.3.n;60.0;100;3;579.0;0.1273
Set_100_234/p4.3.o;63.3;100;3;560.0;0.1003
Set_100_234/p4.3.p;66.7;100;3;652.0;0.0988
Set_100_234/p4.3.q;70.0;100;3;683.0;0.1044
Set_100_234/p4.3.r;73.3;100;3;630.0;0.1166
Set_100_234/p4.4.d;20.0;100;4;38.0;0.0115
Set_100_234/p4.4.e;22.5;100;4;170.0;0.0
Set_100_234/p4.4.f;25.0;100;4;253.0;0.0155
Set_100_234/p4.4.g;27.5;100;4;295.0;0.0218
Set_100_234/p4.4.h;30.0;100;4;367.0;0.0328
Set_100_234/p4.4.i;32.5;100;4;412.0;0.0439
Set_100_234/p4.4.j;35.0;100;4;394.0;0.0831
Set_100_234/p4.4.k;37.5;100;4;421.0;0.0668
Set_100_234/p4.4.l;40.0;100;4;457.0;0.0834
Set_100_234/p4.4.m;42.5;100;4;479.0;0.0889
